"id","nome_pais","preco_medio"
1,"Cyprus","16.2727272727272727"
2,"Turkey","24.6333333333333333"
3,"Switzerland","85.2857142857142857"
4,"New Zealand","26.9317851959361393"
5,"Italy","39.6637696582712546"
6,"Uruguay","26.4036697247706422"
7,"Hungary","40.6482758620689655"
8,"US","36.5734635584630978"
9,"China","18.0000000000000000"
10,"Luxembourg","23.3333333333333333"
11,"Czech Republic","24.2500000000000000"
12,"Armenia","14.5000000000000000"
13,"Romania","15.2416666666666667"
14,"Brazil","23.7659574468085106"
15,"Austria","30.7627724187209718"
16,"Australia","35.4376634699215344"
17,"Germany","42.2575471698113208"
18,"Macedonia","15.5833333333333333"
19,"Serbia","24.5000000000000000"
20,"Canada","35.7125984251968504"
21,"Portugal","26.2182564102564103"
22,"Ukraine","9.2142857142857143"
23,"Bulgaria","14.6453900709219858"
24,"Argentina","24.5101171458998935"
25,"Spain","28.2152746082458543"
26,"Croatia","25.4507042253521127"
27,"England","51.6811594202898551"
28,"Slovenia","24.8125000000000000"
29,"Egypt",NULL
30,"Greece","22.3644251626898048"
31,"India","13.3333333333333333"
32,"Georgia","19.3214285714285714"
33,"Morocco","19.5000000000000000"
34,"Moldova","16.7457627118644068"
35,"Chile","20.7864583333333333"
36,"France","41.1391201620162016"
37,"Slovakia","16.0000000000000000"
38,"Israel","31.7689161554192229"
39,"Mexico","26.7857142857142857"
40,"South Africa","24.6689868522815159"
41,"Peru","18.0625000000000000"
42,"Lebanon","30.6857142857142857"
43,"Bosnia and Herzegovina","12.5000000000000000"
